Vehicle_number,Workshop,Date,Status
XYZ4567E,WS1,02/09/2023,Ready for collection 
NKP7890F,WS2,02/09/2023,Waiting for spare parts
JKL2345G,WS3,02/09/2023,Pending for repair
TUV6789H,WS4,02/09/2023,Vehicle collected
MNP9012L,WS1,02/09/2023,Waiting for spare parts
GHK3456J,WS2,02/09/2023,Ready for collection 
QRS5678K,WS3,02/09/2023,Vehicle collected
RST8901N,WS1,05/09/2023,Waiting for spare parts
UVW1234Q,WS3,05/09/2023,Waiting for spare parts
EFG9012R,WS4,05/09/2023,Vehicle collected
STU3456T,WS1,05/09/2023,Pending for repair
CDE6789W,WS3,07/09/2023,Vehicle collected
FGH2345Z,WS2,07/09/2023,Waiting for spare parts
TUV9012B,WS4,07/09/2023,Waiting for spare parts
CDE4567D,WS1,09/09/2023,Vehicle collected
GHT6789M,WS3,09/09/2023,Vehicle collected
ABC2345T,WS1,11/09/2023,Vehicle collected
QRS9012V,WS3,13/09/2023,Vehicle collected
FGH2345W,WS4,13/09/2023,Pending for repair
CDE2345Z,WS3,13/09/2023,Vehicle collected
QRS9012T,WS1,13/09/2023,Ready for collection 
BCD3456P,WS3,15/09/2023,Pending for repair
MND6789Q,WS4,15/09/2023,Vehicle collected
TUV9012R,WS1,15/09/2023,Ready for collection 
EFG2345S,WS2,15/09/2023,Waiting for spare parts
